UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min
4662,L51841,L,303.3,311.3,1350,48.1,32
9831,L57010,L,298.3,309.3,1337,56.1,206
4259,M19118,M,302.7,311.1,1297,60.7,125
3815,M18674,M,302.1,310.6,1326,59.1,88
4079,H33492,H,302.1,310.7,1294,62.4,101
4081,L51260,L,302.0,310.4,1357,58.0,108
7998,M22857,M,301.0,312.2,2710,9.7,143
1834,L49013,L,297.8,307.3,1327,61.0,186
7012,L54191,L,300.5,310.5,2633,12.2,17
381,L47560,L,297.5,308.3,2564,12.8,127
1997,M16856,M,298.4,308.0,1416,38.2,198
5707,L52886,L,302.4,311.9,1290,70.0,139
4131,L51310,L,301.9,310.4,1286,62.8,22
249,L47428,L,298.0,308.3,1362,56.8,216
1086,L48265,L,297.0,307.8,1385,56.4,202
4721,M19580,M,303.4,311.7,1353,44.1,192
4601,L51780,L,303.0,311.0,1359,44.2,115
4035,L51214,L,302.0,310.8,1615,29.0,235
4297,L51476,L,301.8,310.2,2825,5.8,215
3696,L50875,L,302.2,311.3,1530,37.3,207
328,L47507,L,297.7,308.5,1373,56.7,203
8246,M23105,M,299.0,310.3,1303,68.6,111
6079,L53258,L,300.8,310.7,1339,59.1,203
9665,L56844,L,299.1,310.2,1317,54.8,231
5400,H34813,H,302.8,312.4,1411,53.8,246
9017,L56196,L,297.3,308.2,1396,52.7,212
8308,M23167,M,298.7,310.1,1402,69.7,64
8847,M23706,M,297.4,308.8,1325,62.4,204
4852,L52031,L,303.7,312.1,1363,51.8,90
3936,M18795,M,302.6,311.6,1227,68.2,187
2445,L49624,L,299.2,308.6,1267,68.2,76
4728,M19587,M,303.4,311.8,1341,47.0,210
4271,L51450,L,302.6,310.9,1331,52.0,154
7088,L54267,L,300.6,310.3,1648,30.5,217
8583,M23442,M,297.5,308.1,1334,72.0,151
4171,M19030,M,302.2,310.6,1355,51.5,126
250,L47429,L,298.0,308.3,1405,56.2,218
4496,L51675,L,302.6,310.4,1359,57.2,67
4428,M19287,M,302.4,310.1,1379,48.9,107
4308,L51487,L,301.4,309.9,1259,63.9,20
4121,M18980,M,302.1,310.7,1376,46.3,210
243,L47422,L,298.0,308.2,1348,58.8,202
8507,L55686,L,298.4,309.6,1710,27.3,163
4633,M19492,M,302.9,311.2,1330,53.7,200
9415,L56594,L,298.1,308.6,1354,53.9,207
4180,L51359,L,302.4,310.9,1349,46.1,148
4619,M19478,M,303.0,311.3,1335,53.6,164
1392,L48571,L,298.9,310.2,2737,8.8,142
6498,L53677,L,300.8,309.9,1312,65.3,192
4602,M19461,M,303.0,311.1,1372,54.3,117
4343,M19202,M,301.7,309.8,1284,68.2,111
